Base Word,Level
cast doubt on sb/sth,C2
cast doubt on sth,C2
cast your mind back,C2
castle,A2
casual,B1
casually,B2
casualty,C2
cat,A1
catalogue,B2
catastrophe,C2
catch,A1
catch fire,B1
catch on,C1
catch sb off guard,C2
"catch sb's attention, interest, etc.",B2
catch sb's eye,C2
catch sight of sth,C2
catch up,B2
catch up (sb) or catch (sb) up,B2
catch up on/with sth,B2
catch up with sb,B1
catch your breath; get your breath back,C1
catch/get/grab/take hold of sth/sb,B2
category,B2
cater,C1
cater for sb/sth,C1
cater to sb/sth,C1
catering,B2
cathedral,A2
cattle,B1
cause,B2
caution,C1
cautious,B2
cave,B1
CD,A1
CD player,A1
CD-ROM,B1
cease,B2
ceiling,A2
celebrate,B1
celebration,B1
celebrity,B1
cell,B2
cellar,B2
cello,B2
cemetery,B2
cent,A2
centigrade,B2
centimetre,A2
central,B1
central heating,B1
centre,A2
century,A2
cereal,A2
ceremony,B1
certain,B1
certainly,A2
certainly not,C1
certainly/definitely/hopefully not,C1
certainty,B2
certificate,B1
chain,A2
chair,A1
challenge,B1
challenging,B1
champagne,A2
champion,B1
championship,B1
chance,B1
chancellor,C2
change,A1
change the subject,B2
change your mind,B1
changeable,C1
channel,A2
chaos,B2
chaotic,C1
chapel,C2
chapter,B1
character,B1
characteristic,B2
charge,B1
charisma,C2
charismatic,C2
charity,B1
charm,B2
charming,B1
chart,B2
chase,B2
"chase sb/sth away/off/out, etc.",B2
chat,A2
chat sb up or chat up sb,B2
chat show,B1
chatty,C1
cheap,A1
cheat,B2
cheat on sb,B2
check,A2
check (up) on sth,C1
check in,B1
check in/check into sth,B1
check out,B1
check sth out or check out sth,C1
check-in (counter),B1
check-in (desk),B1
checkout,B1
cheek,B1
cheeky,B2
cheer,B2
cheer sb on or cheer on sb,C2
cheer up (sb) or cheer (sb) up,B2
cheerful,B1
cheerfully,B2
cheerfulness,C2
Cheers!,B1
cheese,A1
chef,A2
chemical,B2
chemist,A2
chemistry,A2
cheque,A2
cherry,B2
chess,A2
chest,B2
chest of drawers,B1
chew,B2
chewing gum,B1
chicken,A2
chief,B2
child,A1
childhood,B1
childish,B2
chill,C2
chill out,B2
chilli,A2
chilly,C1
chimney,B2
chin,B1
chip,A1
chip in (sth),C2
chocolate,A1
choice,B1
choir,B2
cholesterol,C1
choose,A1
choose to do sth,B1
chop,B2
chop sth down or chop down sth,C2
chore,C1
chronic,C2
church,A2
cigarette,A2
cinema,A1
circle,A2
circuit,C2
circular,B2
circulation,C2
circumstance,B2
circus,B1
citizen,B2
city,A1
civil,C1
civilian,C2
civilization,B2
claim,B2
"claim credit/responsibility/success, etc.",C2
clap,B1
clarification,C1
clarify,C1
clarity,C2
clash,C2
class,A1
class sb/sth as sth,C1
classic,B2
classical,C2
classical music,A2
classification,C2
classify,C1
classmate,A2
classroom,A1
clause,B2
clean,A1
clean (sth/sb) up,C1
clean sth out or clean out sth,C2
cleaner,A2
clear,A2
clear sth away or clear away sth,C1
clear the air,C2
clear up,B2
clear up (sth) or clear (sth) up,B2
clear up sth or clear sth up,B2
clearly,A2
clever,A1
cliché,C2
clichéd,C2
click,A2
client,B2
cliff,B1
climate,B1
climate change,B2
climb,A2
"climb into/out of/through, etc.",B2
climbing,A2
cling,C2
cling (on) to sth,C2
clinic,B1
clinical,C1
clock,A1
close,A1
close down (sth) or close (sth) down,B2
close in,C2
close off sth or close sth off,C1
closed,A1
closely,B2
closeness,C1
closure,C2
cloth,B2
clothes,A1
clothing,B2
cloud,A2
cloudy,A2
clown,A2
club,A2
clue,B2
clumsiness,C2
clumsy,B2
clutch,C1
coach,A2
coaching,B2
coal,C1
coast,B1
coastal,B2
coastline,C2
coat,A1
coconut,B1
cod,B1
code,B2
coffee,A1
coherence,C2
coherent,C2
coin,B1
coincide,C2
coincidence,B2
cola,A2
cold,A1
coldness,C2
collaborate,C1
collaboration,C1
collapse,B2
collar,B1
colleague,A2
collect,A2
collect yourself/your thoughts,C2
collection,B1
collector,B2
college,A2
collocation,B2
colon,B2
colour,A1
colourful,B1
column,B2
comb,A2
combat,C2
combination,B2
combine,B2
come,A1
come about,C2
come across,C1
come across sb/sth,B2
"come after/first/last, etc.",B1
come along,B1
"come apart/off, etc.",C2
come back,A2
come between sb,C2
come by sth,C2
come down,B2
come down to sth/doing sth,C2
come down with sth,B2
come easily/easy/naturally,C1
come first,C1
come from swh/sth,A1
come in,A2
come in for sth,C2
come in handy,C2
come in useful,C2
come into being,C2
come into sth,C2
come off,C1
come on,C1
Come on!,B1
come out,B1
come out of sth,C2
come over,C1
come over sb,C1
come round,A2
come through,C2
come through (sth),C2
come to do sth,C2
come to light,C2
come to mind,C1
come to sth,B2
come to terms with sth,C2
come to the/sb's rescue,C2
come to think of it,C2
come true,B1
come under fire,C2
come under sth,C1
come up,B2
come up against sth,C1
come up with sth,B2
come/get straight to the point,B2
come/get to grips with sth,C2
come/go into effect,C2
comeback,C2
comedian,B2
comedy,B1
comfort,B2
comfortable,A2
comfortably,B2
comforting,C2
comic,A2
comma,B1
command,B2
commander,C2
commemorate,C2
commence,C2
comment,B1
commerce,B2
commercial,B2
commit,B2
commitment,B2
committed,C2
committee,B2
commodity,C1
common,B1
common knowledge,B2
common sense,B1
commonly,C1
communicate,B1
communication,B1
communicative,B2
community,B2
commute,C1
companion,B2
company,A2
comparable,C1
comparative,A2
"comparative comfort/freedom/silence, etc.",C2
"comparatively cheap/easy/little, etc.",C1
compare,B1
compare notes,C1
compared to/with sb/sth,B2
comparison,B2
compatible,C1
compensate,C1
compete,B1
competence,C1
competent,C1
competition,A2
competitive,B2
competitor,B1
compile,C1
complain,B1
complain of sth,B1
complaint,B1
complete,A2
completely,B1
completion,C1
complex,B2
complexion,C2
complexity,C2
complicate,C1
complicated,B1
complication,C1
compliment,C1
complimentary,C2
comply,C1
component,C1
compose,B2
composer,B2
composition,B1
comprehensive,C1
comprehensively,C1
comprise,C1
compromise,B2
compulsive,C2
compulsory,B2
computer,A1
conceal,C2
concede,C2
conceited,C2
conceive,C2
concentrate,B1
concentration,B2
concept,B2
conception,C2
concern,B2
concerned,B2
concerning,B2
concert,A2
concession,C2
conclude,C1
conclusion,B1
conclusive,C2
conclusively,C2
concrete,B2
condemn,C2
condition,B1
conditions,B1
conduct,B2
conduct yourself,C2
conductor,B2
conference,B1
confess,B2
confession,B2
confidence,B2
confident,B1
confidential,C1
confidently,B2
confine,C2
confirm,B1
confirmation,B2
conflict,B2
confront,C2
confrontation,C2
confuse,B2
confused,B1
confusing,B1
confusion,B2
congestion,C1
congratulate,B2
congratulations,A2
conjunction,B2
connect,B1
connection,B1
conquer,C1
conscience,C2
conscientious,C1
conscious,C1
consciousness,B2
consecutive,C2
consensus,C2
consent,C1
consequence,B2
consequently,B2
conservation,B2
conservative,C1
consider,B1
consider sb/sth (to be) sth,B2
considerable,B2
considerably,B2
considerate,C1
consideration,B2
considering,B2
consist of sth,B1
consistent,C2
consistent with sth,C2
consistently,C2
consonant,B1
constant,B2
constantly,B2
constitute,C1
constitution,C1
constitutional,C2
constrain,C2
constraint,C2
construct,B2
construction,B2
constructive,C1
consult,C1
consultant,B2
consultation,C2
consume,B2
consumer,B2
consumption,C1
contact,A2
contain,B1
container,B2
contemplate,C2
contemporary,B2
contempt,C2
content,B2
contents,B1
contest,B1
contestant,C1
context,B2
continent,B1
continental,C2
continual,C1
continually,C1
continue,B1
continuity,C2
continuous,B2
continuously,B2
contraception,C2
contraceptive,C2
contract,B1
contradict,C1
contradiction,C2
contradictory,C2
contrary,C2
contrary to sth,C1
contrast,B2
contribute,B2
contribution,B2
control,B1
controversial,B2
controversy,C1
convenience,B2
convenient,B1
conveniently,B2
convention,C1
conventional,B2
conventional wisdom,C1
conversation,A1
conversion,C2
convert,B2
convey,C1
convict,C2
conviction,C2
convince,B1
convinced,B2
convincing,C1
cook,A1
cooker,A2
cookie,C2
cooking,A2
cool,A2
cool down/off (sb/sth) or cool (sb/sth) down/off,B2
coolness,C1
cooperate,B2
cooperation,B2
cooperative,B2
cope,B2
copper,B2
copy,A2
coral,C2
core,C2
corn,B1
corner,A2
corporate,C1
corporation,B2
corpse,C2
correct,A2
correction,B1
correctly,B1
correspond,B2
corresponding,C2
corridor,B2
corrupt,C1
corruption,C1
cosmopolitan,C1
cost,A2
costume,B2
cosy,B1
cottage,B1
cotton,B1
cough,B1
could,A2
could have,B2
"could/may/might, etc. yet",C2
couldn't have,B2
council,B2
counselling,C2
counsellor,C2
count,B1
count noun,B1
count on sb,B2
count on sth,B2
count sb in,C2
count towards sth,C2
count up sb/sth or count sb/sth up,C2
counter,B2
counterpart,C1
countless,C1
country,A1
countryside,A2
county,B2
coup,C2
couple,B1
courage,B2
courageous,C1
courgette,B1
course,A1
course of action,C1
court,B1
courteous,C2
courtesy,B2
cousin,A2
cover,A2
cover (sth) up or cover up (sth),C2
cover sth up or cover up sth,C1
coverage,C1
cow,A1
coward,B2
cowardly,B2
crab,B2
crack,B2
crack (sb) up,C2
crack a joke,C1
crack down,C2
crack up,C2
crackdown,C2
craft,B2
cramp sb's style,C2
crash,B1
crave,C2
craving,C2
crawl,B2
craziness,C2
crazy,A2
cream,A2
create,B1
creation,B2
creative,B1
creatively,B2
creativity,B2
creature,B1
credibility,C2
credit,B1
credit card,A1
creep,C2
"creep along/down/in/out, etc.",C2
crew,B1
cricket,A2
crime,B1
criminal,B1
crisis,B2
crisp,A2
criterion,C1
critic,B2
critical,B2
critically,B2
criticism,B2
criticize,B2
crocodile,B2
crop,B1
cross,A1
cross sb's path,C2
cross your mind,B2
crossing,B1
crossroads,B2
crowd,A2
crowded,A2
crucial,B2
crude,C2
cruel,B1
cruelly,B2
cruelty,B2
cruise,B1
crumble,C2
crush,C2
cry,A2
cry out (sth),C2
cry your eyes out,C2
crystal,C2
crystal clear,C1
cucumber,B1
cultivate,C1
cultivation,C1
cultural,B1
culturally,B2
culture,B1
cunning,C2
cup,A1
cupboard,A2
curb,C2
cure,B2
curiosity,B2
curious,B1
curiously,B1
curly,B1
currency,B1
current,B2
currently,B2
curriculum,B1
curry,A2
cursor,B2
curtain,A2
curve,B2
cushion,B1
custody,C2
custom,B1
customary,C1
customer,A2
customs,B1
cut,A2
cut across sth,B2
cut back (sth),C2
cut down sth or cut sth down,B2
cut off sb/sth or cut sb/sth off,B2
cut out sth or cut sth out,C1
cut sth short or cut short sth,C2
cut up sth or cut sth up,B1
cutback,C1
cutlery,C2
cutting-edge,C1
CV,B1
cycle,B1
cycling,A2
cyclist,B1
cynical,C2
dad,A1
daily,A2
daily life,B1
dairy,B2
damage,B1
damaged,B1
damn,B1
damp,B2
dance,A1
dancer,A2
dancing,A1
danger,A2
dangerous,A2
dangerously,B1
dare (to) do sth,B2
dare sb to do sth,C1
dark,A1
darkness,B2
darkness/night falls,C2
darling,B2
dash,B2
data,B2
database,B2
date,A1
date back,B2
date from sth,B2
dated,C2
daughter,A1
daughter-in-law,B2
dawn,B2
dawn on sb,C2
day,A1
"day after day/year after year, etc.",B1
"day by day/little by little/one by one, etc.",B2
daycare,C1
daydream,C1
daylight,B2
days,C1
daytime,B2
day-to-day,C1
dazed,C2
dazzle,C2
dazzling,C2
dead,A2
deadline,B2
deadly,B2
"deadly dull/serious, etc.",C1
deaf,B1
deal,B2
deal with sb,B2
deal with sth,B1
dealer,B2
dear,A1
Dear Madam,B2
Dear Sir,B2
dear to sb/sb's heart,C2
death,B1
"death/firing/hit, etc. squad",C2
debate,B2
debit,B2
debit card,B2
debt,B2
debut,C1
decade,B2
decaffeinated,C2
decay,B2
deceased,C2
deceive,B2
December,A1
decent,B2
deception,C2
deceptive,C2
decide,A2
deciding factor,C2
decision,B1
decisive,B2
decisively,C2
deck,B2
declaration,C1
declare,B1
decline,B2
decorate,B1
decoration,B2
decorative,B2
decrease,B1
dedicate sth to sb,C2
dedicate your life/yourself to sth,C1
dedicated,C1
dedication,C1
deduce,C2
deduction,C1
deem,C2
deep,A2
deep down,B2
deep in thought/conversation,C2
deepen,C1
deeply,B2
deer,B2
defeat,B1
defect,C1
defective,C2
defence,B1
defend,B1
defender,B2
defensive,C2
deficiency,C1
deficit,C1
define,B2
definite,B2
definite article,B1
definitely,B1
definitely not,C1
definition,B2
definitive,C2
defy,C2
"defy belief/description/explanation, etc.",C2
degree,A2
delay,A2
delegate,C1
delegation,C2
delete,B1
deliberate,B2
deliberately,B2
delicate,B2
delicious,B1
delight,B2
delighted,B1
delightful,B2
deliver,B1
"deliver a speech/talk, etc.",B2
delivery,B1
demand,B1
demanding,B2
democracy,B2
democratic,B2
demolish,B2
demonstrate,B2
demonstration,B2
denial,C2
denim,B2
dense,B2
densely,B2
density,C1
dental,B2
dentist,A2
deny,B2
deodorant,C1
depart,B1
department,A2
department store,A2
departure,B1
depend on/upon sb/sth,B1
dependence,C2
dependent,B2
dependent on/upon sth,C1
depict,C2
deposit,B1
depressed,B1
depressing,B2
depression,B2
deprivation,C2
deprive,B2
deprived,C1
depth,B1
deputy,C1
derive (sth) from sth,C1
"derive comfort/pleasure, etc. from sth",C2
descend,B2
descendant,C2
describe,A2
description,B1
desert,A2
deserted,C1
deserve,B1
design,B1
designer,B1
desirable,B2
desire,B2
desk,A1
desktop,B2
despair,B2
desperate,B2
desperately,B2
desperation,C2
despite,B1
despite the fact that,B2
dessert,A2
destination,B1
destiny,C1
destroy,B1
destruction,B2
detached,C1
detail,B1
detailed,B2
details,A2
detect,C1
detective,B1
deteriorate,C1
determination,B2
determine,C1
determined,B2
determiner,B2
deterrent,C2
detrimental,C2
devastated,C1
devastating,C1
devastation,C2
develop,B1
developed,B2
developer,C1
developing,B2
development,B1
device,B2
devil,B2
devise,C2
devote sth to sb/sth,B2
devote yourself to sth,C1
devoted,B2
diagnose,C2
diagnosis,C2
diagram,B1
dial,B1
dialect,C2
dialogue,B2
diamond,B2
diarrhoea,C2
diary,A2
dice,C2
dictate,C1
dictionary,A1
die,A1
die down,C2
die out,B2
diesel,C1
diet,B1
differ,B2
differ/vary widely,B2
difference,A2
different,A1
differentiate,C1
differently,B1
difficult,A1
difficulty,B1
dig,B1
dig a hole/tunnel,B2
digest,C1
digestion,C1
digital,A2
digital camera,A2
dignified,C2
dignity,C2
dilemma,B2
dim,C2
dimension,B2
diminish,C1
dining room,A1
dinner,A1
dinosaur,A2
dip,B2
diploma,A2
diplomacy,C2
diplomat,B2
diplomatic,C1
diplomatically,C2
direct,B1
"direct sth against/at/towards, etc. sb/sth",C1
direction,B1
directions,A2
directly,B1
director,B1
directory,C1
dirt,B1
dirty,A2
disability,B2
disabled,B1
disadvantage,B1
disadvantaged,C1
disagree,B1
disagreement,B2
disappear,B1
disappear/vanish into thin air,C2
disappearance,B2
disappoint,B1
disappointed,B1
disappointing,B1
disappointment,B1
disapproval,C1
disapprove,B2
disaster,B2
disastrous,C1
disc,B1
disc jockey,B1
discipline,B2
disclose,C2
disco,A2
discomfort,C1
discontent,C1
discount,A2
discourage,B2
discourage sb from doing sth,B2
discover,B1
discovery,B2
discreet,C2
discretion,C2
discriminate,C1
discrimination,C1
discuss,A2
discussion,B1
disease,B1
disgrace,B2
disguise,B2
disgust,C2
disgusted,C1
disgusting,B1
dish,A2
dishonest,B2
dishonestly,C1
dishonesty,B2
dishwasher,B1
disillusioned,C2
disk,B1
dislike,B1
disloyal,C2
dismay,C2
dismiss,C1
dismissal,C1
disorder,C1
disorganized,B2
displace,C1
displacement,C1
display,B1
disposable,C2
disposable income,C2
disposal,B2
dispose of sth,C1
disposition,C2
dispute,C2
disqualify,C2
disrespect,C1
disrespectful,C2
disrupt,B2
disruption,C1
disruptive,C2
dissatisfaction,B2
dissatisfied,B2
dissertation,C1
dissolve,C1
distance,B1
distant,B2
distinct,C1
distinction,B2
distinctive,C1
distinguish,B2
distinguished,B2
distort,C1
distract,B2
distraction,C1
distress,C1
distressed,C1
distressing,B2
distribute,B2
distribution,C1
district,B1
disturb,B2
disturbance,C1
disturbed,C2
disturbing,C2
dive,B1
dive into sth,C2
diver,B1
diverse,B2
diversity,C1
divert,C2
"divert sb's attention/thoughts, etc.",C1
divide,B1
divide sth (up) among/between sb,C1
divided,B2
diving,B1
division,B2
divorce,B1
divorced,B1
dizzy,B2
DJ,B1
DNA,C2
do,A1
"do a good/excellent, etc. job",B2
do away with sth,C1
do badly/well,B1
"do damage/harm, etc.",B2
do everything in your power to do sth,C1
do sb a/the world of good,C2
do sb good,B2
do sb/sth justice; do justice to sb/sth,C2
do sth as you see/think fit,C2
do sth by the book,C2
do sth to excess,C2
"do the cleaning/cooking, etc.",A1
do the job,C2
do the trick,C2
do up sth or do sth up,B2
do without (sb/sth),B2
Do you mind ...?,A2
do your best,B1
"do your hair/make-up, etc.",B1
do your own thing,C2
do your utmost,C1
do/learn sth the hard way,C2
do/try your best,B1
dock,C1
doctor,A1
document,A2
documentary,B1
dog,A1
dole sth out,C2
doll,A1
dollar,A1
dolphin,B1
domain,C1
domestic,B2
dominance,C2
dominant,C1
dominate,B2
domination,C1
donate,B2
donation,B2
donkey,B1
donor,C2
Don't ask me,B2
Don't ask!,B2
Don't forget...,A1
Don't get me wrong,C2
don't hesitate to do sth,B2
don't need to do sth/needn't do sth,A2
Don't worry (about sth),A1
Don't you dare,C2
"don't you?/do you?/doesn't she?/does she?, etc.",A2
doom,C2
doom and gloom,C2
door,A1
doorway,C2
dose,B2
dot,B1
double,A2
doubt,B1
doubtful,B2
down,A1
down and out,C2
down the drain,C2
down to earth,C1
down under,C2
downhill,C2
download,A2
downside,C1
downstairs,A2
down-to-earth,C1
downward,C1
downwards,C1
dozen,B1
dozens,C1
Dr,A2
draft,B2
drag,B1
drag and drop,B1
"drag sb along/out/to, etc.",C2
drain,C2
drama,B1
dramatic,B2
dramatically,B2
drastic,C1
drastically,C1
draught,C1
draw,A1
draw (sb's) attention to sth/sb,B2
draw a comparison/distinction,C2
draw a conclusion,B2
"draw into/out/away, etc.",B2
draw near/close,B2
draw on sth,C1
draw sth up or draw up sth,C1
"draw sth/sb across/back/over, etc.",C2
draw the line (at sth),C2
draw to a close/end,C2
drawback,C1
drawer,A2
drawing,A2
dread,C2
dreadful,B2
dream,A2
dress,A1
dressed,A2
drift,C2
"drift across/down/towards, etc.",C2
drift apart,C2
drift off,C2
drink,A1
drive,A1
"drive sb mad/crazy, etc.",B2
drive sb to sth; drive sb to do sth,C1
drive sb/sth out,C2
drive/send sb round the bend,C2
driver,A1
driving licence,A2
drop,B1
drop dead,C2
drop it/the subject,C2
drought,C2
drown,B2
drug,B2
drum,A2
drunk,B2
dry,A2
dry up,C2
dual,C1
dubious,C2
duck,A2
due,B1
due to,B1
dull,B1
dumb,C1
dump,C1
"dump sth on/in/down, etc.",C2
duration,C1
during,A2
during/in/over the course of sth,C1
dust,B1
dustbin,B1
dusty,B1
duty,B1
duty-free,B1
duvet,B1
DVD,A1
dwell on/upon sth,C1
dynamic,B2
each,A1
each other,A2
eager,B2
eagerly,B2
eagerness,B2
eagle,B2
ear,A1
earache,B1
early,A1
early on,C2
earn,A2
earn a/your living,B2
earnings,B2
earring,A2
earth,B1
earthquake,B2
ease,B2
easier said than done,C1
easily,A2
"easily the best/worst/biggest, etc.",C2
east,A2
eastern,B1
easy,A1
easygoing,B1
eat,A1
eat out,B1
eat up (sth) or eat (sth) up,B2
eccentric,C2
echo,C2
ecological,B2
ecologically,B2
ecology,C1
economic,B2
economic/political/social order,C2
economical,B2
economics,B1
economist,B2
economy,B2
edge,B1
edible,C1
edit,B2
edition,B2
editor,B2
educate,B2
educated,B2
education,B1
educational,B2
effect,B1
effective,B2
effectively,B2
effectiveness,C1
efficiency,B2
efficient,B1
efficiently,B2
effort,B1
egg,A1
eight,A1
eighteen,A1
eighth,A2
eighty,A2
either,B1
"either side/end, etc.",B2
either way,B1
either... or,B1
elaborate,C2
elapse,C2
elated,C2
elbow,B1
elder sister/brother/son/daughter,B1
elderly,B1
"eldest child/brother/daughter, etc.",B1
elect,B2
election,B1
electric,A2
electrical,B1
electrician,B2
electricity,A2
electronic,B1
electronically,B2
electronics,B2
elegance,C1
elegant,B2
elegantly,B2
element,B2
elementary,B1
elephant,A2
eleven,A1
eligible,C1
eliminate,C1
elimination,C2
elite,C1
else,A2
elsewhere,B2
elusive,C2
email,A1
embarrass,C2
embarrassed,B1
embarrassing,B1
embarrassment,B2
embassy,B1
embody,C2
embrace,C1
emerge,B2
emergency,B1
eminent,C2
emission,C1
emit,C2
emotion,B2
emotional,B2
emotionally,B2
empathy,C2
emperor,C1
emphasis,B2
emphasize,B2
empire,C1
empirical,C2
employ,B1
employee,B1
employer,B1
employment,B1
empty,A2
enable,B2
enclose,B2
encounter,B2
encourage,B1
encouragement,B2
encouraging,B2
end,A1
end up,B1
endangered,B2
endeavour,C2
endeavour to do sth,C1
ending,B1
endless,B2
endorse,C2
endurance,C2
endure,B2
enemy,B1
energetic,B2
energy,B1
enforce,C1
engage,C1
engage in sth,C2
engaged,B1
engine,A2
engineer,A2
engineering,B1
engrossed,C2
enhance,C1
enjoy,A1
enjoy yourself,A2
enjoyable,B1
enjoyment,B2
enormous,B1
enough,A2
enquire,B2
enquiry,B1
enrich,C1
ensure,B2
enter,A2
enterprise,C1
entertain,B1
entertainer,B2
entertaining,B2
entertainment,B1
enthusiasm,B2
enthusiastic,B2
enthusiastically,B2
entire,B2
entirely,B2
entitle,B2
entity,C2
entrance,A2
entry,B1
envelope,A2
environment,B2
environmental,B1
environmentalist,C1
environmentally,B2
environmentally friendly,B2
envisage,C1
envision,C1
envy,B2
episode,B2
equal,B1
equality,B2
equally,B2
equate,C2
equation,C1
equip,B2
equipment,B1
equivalent,C1
era,B2
eradicate,C2
erode,C2
erosion,C1
error,B2
erupt,C2
escalator,B2
escape,B1
especially,A2
essay,B1
essence,C2
essential,B1
essentially,B2
establish,B2
"establish communication/relations, etc.",C1
establish sb/sth as sth,C1
establishment,C1
estate,B2
estimate,B2
estimated,B2
ethical,C2
ethics,C2
ethnic,C1
euro,A2
evaluate,C1
evaluation,C1
even,A2
even if,B2
even so,C1
even though,B2
evening,A1
event,B1
eventful,C2
eventual,C2
eventually,B2
ever,A2
ever since,B1
ever so,B2
ever such a,C2
"ever-changing/growing/increasing, etc.",C2
every,A1
every now and then,C1
"every other day/week, etc.",C2
every single,B1
every so often,C2
everybody,A2
everyone,A2
everything,A2
everywhere,A2
evidence,B2
evident,B2
evidently,B2
evil,B2
evolution,B2
evolve,C1
exact,B1
exactly,A2
exaggerate,C1
exaggeration,C1
exam,A2
examination,A2
examine,B2
examiner,B1
example,A1
exceed,C1
exceed sb's expectations,C1
exceed the speed limit,C1
excel,C2
excel yourself,C2
excellent,A2
except,A2
except that,B1
exception,B2
exceptional,B2
exceptionally,C1
excess,C1
excessive,C1
exchange,B1
"exchange looks, opinions, views, etc.",B2
exchange rate,B1
excited,A1
excitedly,B1
excitement,B1
exciting,A1
exclaim,C2
exclamation mark,B2
exclude,C1
exclusive,B2
exclusive of sth,C2
exclusively,C1
excuse,B1
Excuse me,A1
execute,C2
executive,C1
exemplify,C2
exercise,A2
exhaust,C1
exhausted,B1
exhausting,B2
exhaustion,B2
exhaustive,C1
exhibit,C1
exhibition,B1
exile,C2
exist,B1
existence,B2
existing,B2
exit,A2
exotic,B2
expand,B2
expansion,B2
expect,B1
expectation,B2
expected,B2
expedition,B1
expenditure,C2
expense,B2
expenses,C1
expensive,A1
experience,B1
experienced,B1
experiment,B1
experimental,C2
expert,B1
expire,C2
explain,A2
explanation,B1
explicit,C2
explode,B1
exploit,B2
exploration,C1
explore,B1
explosion,B2
explosive,C2
export,B2
expose,B2
exposure,C1
express,B2
expression,B2
expressive,C2
exquisite,C2
extend,B2
"extend from/into/over, etc.",C2
extension,B2
extensive,B2
extent,B2
exterior,C1
external,B2
extinct,C1
extinction,C1
extra,A2
extract,B2
extraordinarily,B2
extraordinary,B1
extravagant,C2
extreme,B2
extreme sports,B1
extremely,B1
extremist,C2
extrovert,C1
eye,A1
eye contact,C2
eyebrow,B2
eyelash,B2
eyelid,B2
eyesight,B2
fabric,C1
fabulous,C1
face,A1
face the music,C1
face to face,B1
face up to sth,B2
face-to-face,B1
facial,C2
facilitate,C1
facilities,B1
facility,B2
fact,A2
factor,B2
factory,A1
fade,B2
fade away,B2
fail,A2
fail to do sth,B2
failure,B2
failure to do sth,B2
faint,B2
fair,A2
fair enough,B2
fair play,C2
fairly,B1
fairness,C1
faith,B2
faithful,B2
fake,C1
fall,A2
fall apart,B2
fall asleep/ill,B1
fall back on sb/sth,C2
fall down,B1
fall flat,C1
fall flat on your face,B2
fall for sb,B2
fall in love,B1
fall into place,C2
fall on deaf ears,C2
fall out,B2
fall over,B1
fall prey to sth,C2
fall short of sth,C2
fall through,B2
FALSE,B1
fame,B2
familiar,B1
familiarize sb/yourself with sth,C2
family,A1
"family/private/sex, etc. life",B1
famine,C2
famous,A1
fan,A2
fanatic,C2
fancy,B1
fantastic,A2
fantastically,B2
fantasy,B2
far,A2
far from doing sth,C2
far from it,C1
far from sth,C1
faraway,C2
fare,B1
farm,A1
farmer,A2
farming,B1
fascinate,C1
fascinated,B2
fascinating,B2
fascination,C1
fashion,A2
fashionable,B1
fast,A1
fast asleep,C2
fast food,A2
fasten,B1
"fasten sth on/to/together, etc.",B2
fat,A1
fatal,B2
fate,B2
father,A1
father-in-law,B2
fatty,C1
fault,B2
faultless,C2
faulty,B2
favour,B1
favourable,B2
favourite,A1
fax,B1
fear,B1
fear the worst,C2
fearful,C2
fearless,C2
feasible,C1
feast,C1
feast on sth,C2
feat,C2
feather,B2
feature,B2
February,A1
fed up,B2
fee,B1
feeble,C2
feed,B1
feedback,B2
feel,A1
feel at home,B1
feel bad about sth/doing sth,B1
feel compelled to do sth,C1
"feel different/strange, etc.",B2
feel faint,C2
feel like sb/sth,B1
feel like sth/doing sth,B1
feel like/as if,B1
feel sorry for,B1
feeling,B1
feelings,B1
fellow,B2
female,B1
feminine,C1
fence,B2
fend for yourself,C2
ferry,B1
fertile,C2
festival,B1
fetch,B1
fever,B1
few,B1
few and far between,C2
fibre,C1
fiction,B1
fictional,C2
field,A2
fierce,B2
fifteen,A1
fifth,A2
fifty,A2
fight,B1
fighting,B2
figure,B1
figure out sth/sb or figure sth/sb out,B2
file,A2
fill,A2
fill a need/gap/demand,C2
fill in/out sth or fill sth in/out,A2
"fill sb with anger/joy/pride, etc.",B2
fill up (sth) or fill (sth) up,B1
film,A1
film-maker,B1
filter,C2
"filter down/in/through, etc.",C2
"filter down/through/out, etc.",C2
filthy,C1
final,A2
finally,A2
finance,B2
financial,B1
financially,B2
find,A1
find common ground,C2
find fault with sb/sth,C2
find out (sth) or find (sth) out,A2
find sb guilty/not guilty,B2
"find sb/sth easy/boring/funny, etc.",B1
"find the money/time, etc.",B1
find yourself somewhere/doing sth,B2
fine,A1
finely,B2
finger,A2
fingernail,B2
finish,A1
"finish first/second, etc.",B1
finish off (sth) or finish (sth) off,C1
finish with sb,B2
finite,C2
fire,A2
fire brigade,B2
fire sb's imagination,C2
fire station,B1
firefighter,B1
fireplace,C2
firework,B1
firm,B1
firmly,B2
first,A1
first and foremost,C1
first language,B2
first name,A2
first of all,A2
"first/second/third, etc. gear",B2
"first/second/third/final, etc., round",B2
first-/second-/third-rate,C1
first-floor,B1
firstly,B2
fish,A1
fisherman,B2
fishing,A2
fist,C2
fit,A2
"fit (sth) in/into/through/under, etc.",B1
fit in,C1
fit in with sth,B2
fitness,B1
five,A1
fix,B1
"fix sth onto/to/under, etc.",B2
fix sth up,C1
fixed,B2
flag,B1
flair,C1
flame,B2
flash,B2
"flash by/past/through, etc.",C2
flashback,C2
flat,A1
flatten,C2
flavour,B1
flaw,C1
flawed,C2
